Parameters of Sample:   Name of the Sample
Concentration (mg/ml):   8.6800
Volumn (ml):   0.4000
Experiment Date:	10/31/2017	12:09 PM	Recording Period (ms): 1000.0000

Time	H	Frequency	T1	T2	T3	IpSupply	VpSupply	Current	SAR	sd SAR	L
86.0000	4933.0490	992772.5115	23.1600	0.0000	0.0000	1.4210	18.3940	36.5411	0.0000	0.0000	0.0000
87.0000	4935.1524	992773.4363	23.2600	0.0000	0.0000	1.4210	18.3940	36.5567	0.0000	0.0000	0.0000
88.0000	4932.5398	992775.0720	23.3100	0.0000	0.0000	1.4120	18.3940	36.5373	0.0000	0.0000	0.0000
89.0000	4932.6805	992774.5934	23.3700	0.0000	0.0000	1.4210	18.3940	36.5384	0.0000	0.0000	0.0000
90.0000	4932.8213	992774.3557	23.3700	0.0000	0.0000	1.4210	18.3940	36.5394	0.0000	0.0000	0.0000
91.0000	4931.6288	992773.5446	23.2400	0.0000	0.0000	1.4120	18.3940	36.5306	0.0000	0.0000	0.0000
92.0000	4930.8918	992772.9336	23.2800	0.0000	0.0000	1.4210	18.3940	36.5251	0.0000	0.0000	0.0000
93.0000	4930.8048	992774.4201	23.3800	0.0000	0.0000	1.4210	18.3940	36.5245	0.0000	0.0000	0.0000
94.0000	4931.6288	992773.2100	23.4600	0.0000	0.0000	1.4210	18.3940	36.5306	0.0000	0.0000	0.0000
95.0000	4933.1360	992774.9928	23.4800	0.0000	0.0000	1.4120	18.3940	36.5417	0.0000	0.0000	0.0000
96.0000	4932.4528	992775.3560	23.4500	0.0000	0.0000	1.4210	18.3940	36.5367	0.0000	0.0000	0.0000
97.0000	4934.5562	992776.9897	23.4000	0.0000	0.0000	1.4120	18.3940	36.5523	0.0000	0.0000	0.0000
98.0000	4931.5750	992776.6335	23.4100	0.0000	0.0000	1.4210	18.3940	36.5302	0.0000	0.0000	0.0000
99.0000	4932.9082	992774.5842	23.3800	0.0000	0.0000	1.4210	18.3940	36.5401	0.0000	0.0000	0.0000
100.0000	4931.7158	992775.0840	23.3500	0.0000	0.0000	1.4210	18.3940	36.5312	0.0000	0.0000	0.0000
101.0000	4930.8918	992774.8435	23.3900	0.0000	0.0000	1.4210	18.3940	36.5251	0.0000	0.0000	0.0000
102.0000	4930.7511	992774.6153	23.4100	0.0000	0.0000	1.4210	18.3940	36.5241	0.0000	0.0000	0.0000
103.0000	4932.7675	992776.6107	23.4700	0.0000	0.0000	1.4210	18.3940	36.5390	0.0000	0.0000	0.0000
104.0000	4929.2439	992772.4906	23.4600	0.0000	0.0000	1.4120	18.3940	36.5129	0.0000	0.0000	0.0000
105.0000	4930.6641	992773.6069	23.4000	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
106.0000	4931.8565	992774.7390	23.4000	0.0000	0.0000	1.4210	18.3940	36.5323	0.0000	0.0000	0.0000
107.0000	4931.9435	992771.8920	23.4500	0.0000	0.0000	1.4210	18.3940	36.5306	0.0000	0.0000	0.0000
108.0000	4930.0678	992771.1400	23.5100	0.0000	0.0000	1.4210	18.3940	36.5190	0.0000	0.0000	0.0000
109.0000	4931.8565	992771.8627	23.4800	0.0000	0.0000	1.4210	18.3940	36.5323	0.0000	0.0000	0.0000
110.0000	4931.4880	992773.3245	23.4900	0.0000	0.0000	1.4210	18.3940	36.5295	0.0000	0.0000	0.0000
111.0000	4933.7860	992771.7501	23.5800	0.0000	0.0000	1.4210	18.3940	36.5466	0.0000	0.0000	0.0000
112.0000	4932.2250	992772.1905	23.6200	0.0000	0.0000	1.4210	18.3940	36.5350	0.0000	0.0000	0.0000
113.0000	4931.8565	992772.4973	23.6600	0.0000	0.0000	1.4210	18.3940	36.5323	0.0000	0.0000	0.0000
114.0000	4932.4528	992773.6605	23.6800	0.0000	0.0000	1.4210	18.3940	36.5367	0.0000	0.0000	0.0000
115.0000	4930.8918	992773.9963	23.7400	0.0000	0.0000	1.4210	18.3940	36.5251	0.0000	0.0000	0.0000
116.0000	4931.1195	992773.4900	23.6700	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
117.0000	4930.0678	992771.7906	23.6400	0.0000	0.0000	1.4210	18.3940	36.5190	0.0000	0.0000	0.0000
118.0000	4929.9271	992772.2070	23.6800	0.0000	0.0000	1.4210	18.3940	36.5180	0.0000	0.0000	0.0000
119.0000	4932.0843	992773.5221	23.7100	0.0000	0.0000	1.4210	18.3940	36.5340	0.0000	0.0000	0.0000
120.0000	4935.0654	992773.7550	23.6800	0.0000	0.0000	1.4210	18.3940	36.5560	0.0000	0.0000	0.0000
121.0000	4932.0843	992774.3368	23.6400	0.0000	0.0000	1.4210	18.3940	36.5340	0.0000	0.0000	0.0000
122.0000	4931.2603	992772.7116	23.6300	0.0000	0.0000	1.4210	18.3940	36.5279	0.0000	0.0000	0.0000
123.0000	4930.8048	992772.9714	23.6200	0.0000	0.0000	1.4210	18.3940	36.5245	0.0000	0.0000	0.0000
124.0000	4934.0137	992772.0908	23.6500	0.0000	0.0000	1.4210	18.3940	36.5482	0.0000	0.0000	0.0000
125.0000	4929.1031	992772.5433	23.7000	0.0000	0.0000	1.4210	18.3940	36.5119	0.0000	0.0000	0.0000
126.0000	4929.9271	992772.1038	23.6800	0.0000	0.0000	1.4210	18.3940	36.5180	0.0000	0.0000	0.0000
127.0000	4931.5418	992773.4042	23.7300	0.0000	0.0000	1.4210	18.3940	36.5299	0.0000	0.0000	0.0000
128.0000	4931.1195	992774.3742	23.7500	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
129.0000	4930.8918	992775.1248	23.6800	0.0000	0.0000	1.4210	18.3940	36.5251	0.0000	0.0000	0.0000
130.0000	4929.1569	992773.2779	23.6800	0.0000	0.0000	1.4210	18.3940	36.5123	0.0000	0.0000	0.0000
131.0000	4931.3473	992775.2862	23.7600	0.0000	0.0000	1.4210	18.3940	36.5285	0.0000	0.0000	0.0000
132.0000	4930.6641	992773.1588	23.8400	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
133.0000	4928.6476	992772.0083	23.8400	0.0000	0.0000	1.4210	18.3940	36.5085	0.0000	0.0000	0.0000
134.0000	4930.6641	992774.0202	23.8200	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
135.0000	4930.4363	992774.3579	23.8100	0.0000	0.0000	1.4210	18.3940	36.5218	0.0000	0.0000	0.0000
136.0000	4931.2603	992772.5325	23.8200	0.0000	0.0000	1.4210	18.3940	36.5279	0.0000	0.0000	0.0000
137.0000	4932.1713	992774.7264	23.8400	0.0000	0.0000	1.4210	18.3940	36.5346	0.0000	0.0000	0.0000
138.0000	4935.0654	992773.0632	23.7800	0.0000	0.0000	1.4210	18.3940	36.5560	0.0000	0.0000	0.0000
139.0000	4931.4880	992777.7678	23.7700	0.0000	0.0000	1.4210	18.3940	36.5295	0.0000	0.0000	0.0000
140.0000	4932.5398	992776.4916	23.8500	0.0000	0.0000	1.4210	18.3940	36.5373	0.0000	0.0000	0.0000
141.0000	4931.8565	992774.0404	23.9100	0.0000	0.0000	1.4210	18.3940	36.5323	0.0000	0.0000	0.0000
142.0000	4930.0678	992776.8249	23.8900	0.0000	0.0000	1.4210	18.3940	36.5190	0.0000	0.0000	0.0000
143.0000	4931.9435	992776.5914	23.8300	0.0000	0.0000	1.4210	18.3940	36.5329	0.0000	0.0000	0.0000
144.0000	4932.5398	992777.6730	23.8400	0.0000	0.0000	1.4210	18.3940	36.5373	0.0000	0.0000	0.0000
145.0000	4931.8565	992774.2107	23.8300	0.0000	0.0000	1.4210	18.3940	36.5323	0.0000	0.0000	0.0000
146.0000	4932.4528	992776.9987	23.8400	0.0000	0.0000	1.4210	18.3940	36.5367	0.0000	0.0000	0.0000
147.0000	4929.6993	992774.8362	23.9100	0.0000	0.0000	1.4210	18.3940	36.5163	0.0000	0.0000	0.0000
148.0000	4929.8401	992774.6711	23.9300	0.0000	0.0000	1.4210	18.3940	36.5173	0.0000	0.0000	0.0000
149.0000	4933.1360	992777.6214	23.9000	0.0000	0.0000	1.4210	18.3940	36.5417	0.0000	0.0000	0.0000
150.0000	4931.7158	992776.4263	23.9800	0.0000	0.0000	1.4210	18.3940	36.5312	0.0000	0.0000	0.0000
151.0000	4929.6123	992775.0274	24.0300	0.0000	0.0000	1.4120	18.3940	36.5156	0.0000	0.0000	0.0000
152.0000	4930.5233	992775.8903	23.9900	0.0000	0.0000	1.4210	18.3940	36.5224	0.0000	0.0000	0.0000
153.0000	4933.1360	992775.1565	23.9700	0.0000	0.0000	1.4210	18.3940	36.5417	0.0000	0.0000	0.0000
154.0000	4932.4528	992774.5793	23.9700	0.0000	0.0000	1.4210	18.3940	36.5367	0.0000	0.0000	0.0000
155.0000	4931.0326	992778.7823	23.9100	0.0000	0.0000	1.4210	18.3940	36.5262	0.0000	0.0000	0.0000
156.0000	4930.7511	992777.0794	23.8800	0.0000	0.0000	1.4210	18.3940	36.5241	0.0000	0.0000	0.0000
157.0000	4931.2065	992776.1164	23.9900	0.0000	0.0000	1.4210	18.3940	36.5275	0.0000	0.0000	0.0000
158.0000	4928.8754	992772.4428	24.0700	0.0000	0.0000	1.4210	18.3940	36.5102	0.0000	0.0000	0.0000
159.0000	4932.2250	992775.8184	24.0900	0.0000	0.0000	1.4210	18.3940	36.5350	0.0000	0.0000	0.0000
160.0000	4929.9271	992775.1978	24.0500	0.0000	0.0000	1.4210	18.3940	36.5180	0.0000	0.0000	0.0000
161.0000	4928.8754	992774.2377	24.0500	0.0000	0.0000	1.4210	18.3940	36.5102	0.0000	0.0000	0.0000
162.0000	4930.7511	992775.1677	24.1000	0.0000	0.0000	1.4210	18.3940	36.5241	0.0000	0.0000	0.0000
163.0000	4930.9456	992775.3950	24.0500	0.0000	0.0000	1.4210	18.3940	36.5255	0.0000	0.0000	0.0000
164.0000	4930.5233	992776.9908	24.0200	0.0000	0.0000	1.4210	18.3940	36.5224	0.0000	0.0000	0.0000
165.0000	4933.1360	992776.6791	24.0700	0.0000	0.0000	1.4210	18.3940	36.5417	0.0000	0.0000	0.0000
166.0000	4930.6641	992776.4159	24.0300	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
167.0000	4930.6641	992776.4159	24.0200	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
168.0000	4931.1195	992776.9996	24.0500	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
169.0000	4932.0843	992777.4275	24.1800	0.0000	0.0000	1.4210	18.3940	36.5340	0.0000	0.0000	0.0000
170.0000	4930.4363	992774.5355	24.1300	0.0000	0.0000	1.4210	18.3940	36.5218	0.0000	0.0000	0.0000
171.0000	4931.3473	992776.3597	24.0700	0.0000	0.0000	1.4210	18.3940	36.5285	0.0000	0.0000	0.0000
172.0000	4934.5562	992775.9418	24.1800	0.0000	0.0000	1.4210	18.3940	36.5523	0.0000	0.0000	0.0000
173.0000	4931.2603	992776.8827	24.1900	0.0000	0.0000	1.4210	18.3940	36.5279	0.0000	0.0000	0.0000
174.0000	4932.3658	992775.6103	24.1900	0.0000	0.0000	1.4210	18.3940	36.5360	0.0000	0.0000	0.0000
175.0000	4932.3658	992775.6103	24.1700	0.0000	0.0000	1.4210	18.3940	36.5360	0.0000	0.0000	0.0000
176.0000	4931.9435	992776.1877	24.1200	0.0000	0.0000	1.4210	18.3940	36.5329	0.0000	0.0000	0.0000
177.0000	4931.9435	992776.1877	24.1700	0.0000	0.0000	1.4210	18.3940	36.5329	0.0000	0.0000	0.0000
178.0000	4930.6641	992777.6631	24.2900	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
179.0000	4930.6641	992776.4520	24.3000	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
180.0000	4930.6641	992775.8386	24.2700	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
181.0000	4931.9435	992775.3833	24.2200	0.0000	0.0000	1.4210	18.3940	36.5329	0.0000	0.0000	0.0000
182.0000	4931.9435	992775.3833	24.2700	0.0000	0.0000	1.4210	18.3940	36.5329	0.0000	0.0000	0.0000
183.0000	4931.4880	992775.3527	24.3100	0.0000	0.0000	1.4210	18.3940	36.5295	0.0000	0.0000	0.0000
184.0000	4930.9788	992775.6614	24.2800	0.0000	0.0000	1.4210	18.3940	36.5258	0.0000	0.0000	0.0000
185.0000	4931.9435	992777.6971	24.2800	0.0000	0.0000	1.4210	18.3940	36.5329	0.0000	0.0000	0.0000
186.0000	4931.1195	992777.1853	24.2400	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
187.0000	4931.0326	992776.0124	24.2400	0.0000	0.0000	1.4210	18.3940	36.5262	0.0000	0.0000	0.0000
188.0000	4931.0326	992776.0124	24.3300	0.0000	0.0000	1.4210	18.3940	36.5262	0.0000	0.0000	0.0000
189.0000	4932.3990	992775.4543	24.2400	0.0000	0.0000	1.4120	18.3940	36.5363	0.0000	0.0000	0.0000
190.0000	4931.0326	992776.6812	24.2300	0.0000	0.0000	1.4210	18.3940	36.5262	0.0000	0.0000	0.0000
191.0000	4930.2086	992776.8647	24.3700	0.0000	0.0000	1.4210	18.3940	36.5201	0.0000	0.0000	0.0000
192.0000	4931.1195	992777.2515	24.3800	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
193.0000	4929.0161	992777.1469	24.4000	0.0000	0.0000	1.4210	18.3940	36.5112	0.0000	0.0000	0.0000
194.0000	4930.1548	992777.3013	24.3600	0.0000	0.0000	1.4210	18.3940	36.5197	0.0000	0.0000	0.0000
195.0000	4929.3308	992776.7084	24.3500	0.0000	0.0000	1.4210	18.3940	36.5136	0.0000	0.0000	0.0000
196.0000	4928.0514	992775.5997	24.3500	0.0000	0.0000	1.4210	18.3940	36.5041	0.0000	0.0000	0.0000
197.0000	4931.5418	992775.5629	24.2900	0.0000	0.0000	1.4210	18.3940	36.5299	0.0000	0.0000	0.0000
198.0000	4930.1548	992775.4372	24.3300	0.0000	0.0000	1.4210	18.3940	36.5197	0.0000	0.0000	0.0000
199.0000	4929.9808	992775.5087	24.3700	0.0000	0.0000	1.4210	18.3940	36.5184	0.0000	0.0000	0.0000
200.0000	4930.0678	992775.6607	24.4400	0.0000	0.0000	1.4210	18.3940	36.5190	0.0000	0.0000	0.0000
201.0000	4930.2956	992775.3653	24.4400	0.0000	0.0000	1.4120	18.3940	36.5207	0.0000	0.0000	0.0000
202.0000	4930.4363	992775.2092	24.5200	0.0000	0.0000	1.4210	18.3940	36.5218	0.0000	0.0000	0.0000
203.0000	4929.7531	992775.2411	24.4700	0.0000	0.0000	1.4210	18.3940	36.5167	0.0000	0.0000	0.0000
204.0000	4931.4010	992776.4169	24.2300	0.0000	0.0000	1.4210	18.3940	36.5289	0.0000	0.0000	0.0000
205.0000	4929.9271	992776.7027	24.1800	0.0000	0.0000	1.4210	18.3940	36.5180	0.0000	0.0000	0.0000
206.0000	4930.2956	992776.5947	24.3900	0.0000	0.0000	1.4210	18.3940	36.5207	0.0000	0.0000	0.0000
207.0000	4931.0326	992775.9806	24.5300	0.0000	0.0000	1.4210	18.3940	36.5262	0.0000	0.0000	0.0000
208.0000	4930.5233	992776.4893	24.4700	0.0000	0.0000	1.4210	18.3940	36.5224	0.0000	0.0000	0.0000
209.0000	4929.6123	992776.3788	24.4800	0.0000	0.0000	1.4210	18.3940	36.5156	0.0000	0.0000	0.0000
210.0000	4929.0161	992776.0743	24.5100	0.0000	0.0000	1.4210	18.3940	36.5112	0.0000	0.0000	0.0000
211.0000	4931.1195	992775.0470	24.4700	0.0000	0.0000	1.4210	18.3940	36.5268	0.0000	0.0000	0.0000
212.0000	4931.6288	992775.4442	24.4400	0.0000	0.0000	1.4210	18.3940	36.5306	0.0000	0.0000	0.0000
213.0000	4929.7863	992776.8884	24.5200	0.0000	0.0000	1.4210	18.3940	36.5169	0.0000	0.0000	0.0000
214.0000	4930.2086	992774.8782	24.5500	0.0000	0.0000	1.4210	18.3940	36.5201	0.0000	0.0000	0.0000
215.0000	4928.5606	992776.3040	24.5100	0.0000	0.0000	1.4210	18.3940	36.5079	0.0000	0.0000	0.0000
216.0000	4930.6641	992775.1209	24.4700	0.0000	0.0000	1.4210	18.3940	36.5234	0.0000	0.0000	0.0000
217.0000	4928.4199	992775.8085	24.5400	0.0000	0.0000	1.4210	18.3940	36.5068	0.0000	0.0000	0.0000
218.0000	4930.4363	992776.2594	24.6100	0.0000	0.0000	1.4210	18.3940	36.5218	0.0000	0.0000	0.0000
219.0000	4929.6993	992775.1099	24.6000	0.0000	0.0000	1.4210	18.3940	36.5163	0.0000	0.0000	0.0000
